codigo;nome;descricao;familia;categoria;status;origem
R001;REVERSAO_VWAP;Reversao proxima da VWAP com perda de agressao contraria;R;REVERSAO;CATALOGADO;BERNARDO_v4_0
R002;REVERSAO_EXTREMO;Reversao apos afastamento excessivo da media;R;REVERSAO;CATALOGADO;BERNARDO_v4_0
R003;FALSO_ROMPIMENTO;Rompimento sem sustentacao e retorno para dentro da regiao;R;REVERSAO;CATALOGADO;BERNARDO_v4_0
R004;ABSORCAO_COMPRADORA;Agressao vendedora absorvida sem continuidade de queda;R;REVERSAO;CATALOGADO;BERNARDO_v4_0
R005;ABSORCAO_VENDEDORA;Agressao compradora absorvida sem continuidade de alta;R;REVERSAO;CATALOGADO;BERNARDO_v4_0
R006;EXAUSTAO_COMPRA;Compra agressiva perde eficiencia perto de resistencia;R;REVERSAO;CATALOGADO;BERNARDO_v4_0
R007;EXAUSTAO_VENDA;Venda agressiva perde eficiencia perto de suporte;R;REVERSAO;CATALOGADO;BERNARDO_v4_0
R008;ROMPIMENTO_COM_FLUXO;Rompimento acompanhado por delta, volume e saldo favoraveis;R;REVERSAO;CATALOGADO;BERNARDO_v4_0
R009;COMPRESSAO_PRE_EXPLOSAO;Reducao de range antes de expansao direcional;R;REVERSAO;CATALOGADO;BERNARDO_v4_0
R010;PULLBACK_INSTITUCIONAL;Reteste de regiao rompida com defesa de fluxo;R;REVERSAO;CATALOGADO;BERNARDO_v4_0
S001;SCALPING_EXPLOSAO;Movimento curto de forte aceleracao e alta frequencia;S;SCALPING;CATALOGADO;BERNARDO_v4_0
S002;SCALPING_REJEICAO;Rejeicao rapida em nivel historico ou VWAP;S;SCALPING;CATALOGADO;BERNARDO_v4_0
C001;CONTEXTO_ABERTURA;Padrao exclusivo de abertura do pregao;C;CONTEXTO;CATALOGADO;BERNARDO_v4_0
C002;CONTEXTO_FECHAMENTO;Padrao exclusivo de fechamento ou zeragem;C;CONTEXTO;CATALOGADO;BERNARDO_v4_0
